,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1112,Koreograaf Kädi Metsoja Eestisse,https://www.hooandja.ee/projekt/koreograaf-kadi-metsoja-eestisse,jonnu Teater,Teater,https://www.hooandja.ee/users/jonnu,100,400,2013
1111,"Rakvere Linnanoorte Näitetrupi juubelilavastus „Jalutuskäik Sorini mõisapargis“ /A. Tšehhovi ""Kajaka"" põhjal",https://www.hooandja.ee/projekt/rakvere-linnanoorte-naitetrupi-juubelilavastus-jalutuskaik-sorini-moisapargis-tsehhovi,tiina rumm Teater,Teater,https://www.hooandja.ee/users/tiinarumm,100,1000,2013
1110,Noorte rahvuspäevad „Tavad ja uuendused noorte kultuuris“,https://www.hooandja.ee/projekt/noorte-rahvuspaevad-tavad-ja-uuendused-noorte-kultuuris,Svetlana Muhhametzjanova Sündmus,Sündmus,https://www.hooandja.ee/users/smuhhametzjanova,100,1004,2013
1109,"Lasteraamat ""Peremees ja parasiit""",https://www.hooandja.ee/projekt/lasteraamat-peremees-ja-parasiit,pinkjackal666 Trükis,Trükis,https://www.hooandja.ee/users/pinkjackal666,100,800,2013
1108,Leiutajate külakool,https://www.hooandja.ee/projekt/leiutajate-kulakool,Sänna Kultuurimõis Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/hendriknoor,138,3461,2013
1107,Mait Vaigu sooloplaat. Seaded ja kitarr Rainer Jancis,https://www.hooandja.ee/projekt/mait-vaigu-sooloplaat-seaded-ja-kitarr-rainer-jancis,Mait Vaik Muusika,Muusika,https://www.hooandja.ee/users/maitmait,144,4305,2013
1106,Purjesport Peipsile,https://www.hooandja.ee/projekt/laste-purjetamislaager-ja-regatid-peipsil,Laine Knude Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/peipsijahtklubi,103,1845,2013
1104,Tants kõigile- erivajadusega või mitte,https://www.hooandja.ee/projekt/tants-koigile-erivajadusega-voi-mitte,Anneliis Jaanus Teater,Teater,https://www.hooandja.ee/users/58,106,2035,2013
1105,Hiiumaa Tantsufestival,https://www.hooandja.ee/projekt/hiiumaa-tantsufestival,Maarja Pärn Sündmus,Sündmus,https://www.hooandja.ee/users/maarjaparn,100,2006,2013
1103,Noorteorkestri Reaalmažoor talveplaat,https://www.hooandja.ee/projekt/noorteorkestri-reaalmazoor-talveplaat,Noorteorkester Reaalmažoor Muusika,Muusika,https://www.hooandja.ee/users/reaalmazoor,109,2720,2013
1102,Arvamusfestival 2013,https://www.hooandja.ee/projekt/arvamusfestival-2013,Arvamusfestival Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/arvamusfestival,108,3228,2013
1101,TPRI muusikavideo,https://www.hooandja.ee/projekt/tpri-muusikavideo,Lauri Kulpsoo Muusika,Muusika,https://www.hooandja.ee/users/kulpsoo,102,2236,2013
1100,Uue Maailma Tänavatefestival 2013,https://www.hooandja.ee/projekt/uue-maailma-tanavatefestival-2013,kaku Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/kaku,104,8270,2013
1099,Eesti tennis 100,https://www.hooandja.ee/projekt/eesti-tennis-100,Kati Varblane Film & Foto,Film & Foto,https://www.hooandja.ee/users/kativarblane,105,5265,2013
1098,Meie laste sünnilood,https://www.hooandja.ee/projekt/meie-laste-sunnilood,Mari-Ann Trükis,Trükis,https://www.hooandja.ee/users/mariannikas,115,575,2013
1097,"Lasteraamat „ Jaaniussikesed, lähme!“",https://www.hooandja.ee/projekt/lasteraamat-jaaniussikesed-lahme,Liina Ellik Trükis,Trükis,https://www.hooandja.ee/users/liinaellik,106,952,2013
1096,Kaamos,https://www.hooandja.ee/projekt/kaamos,janne.klooren Disain,Disain,https://www.hooandja.ee/users/janneklooren,101,3535,2013
1095,"Koomiks ""Sulgedega kanasupp""",https://www.hooandja.ee/projekt/koomiks-sulgedega-kanasupp,Stella Salumaa Trükis,Trükis,https://www.hooandja.ee/users/salumaastella,100,450,2013
1094,Mikk Tammepõllu sooloplaat,https://www.hooandja.ee/projekt/mikk-tammepollu-sooloplaat,Mikk Tammepõld Muusika,Muusika,https://www.hooandja.ee/users/mikktammepold,120,3010,2013
1093,"Luuleraamat"" Veerekese Pääl""",https://www.hooandja.ee/projekt/luuleraamat-veerekese-paal,Margit Peterson Trükis,Trükis,https://www.hooandja.ee/users/marleen003,148,1183,2013
